"","DATA_RESPOSTA","EMAIL","VINCULO","CAMPUS","TIPO_DOMICILIO","IDADE_0_9","IDADE_10_39","IDADE_40_59","IDADE_MAIS_59","DOENCA_CRONICA","QUARTOS_DOMICILIO","ESTUDANTES","PROFESSORES","SERVICOS_ESSENCIAIS","INFORMAIS_AUTONOMOS"
"1","26/03/2020 00:45:12","52f2c7178ab4745e5acdbc35ff801d9e","Professor","Januária","Casa",1,2,0,0,0,3,0,2,0,1
"2","26/03/2020 01:21:16","2894c6e6f40a20d7b5d2c52c0e955686","Aluno","Januária","Apartamento",0,1,0,0,0,2,1,0,0,0
"3","26/03/2020 01:24:41","a47ddcc5335d16c6cfaf8b3d8b47ae1e","Aluno","Januária","Casa",3,2,1,0,1,3,2,0,0,0
"4","26/03/2020 01:27:01","3ae2382f971ceaec3e366ad191f750ef","Professor","Januária","Casa",0,2,2,0,2,4,2,2,0,0
"5","26/03/2020 02:04:27","c49fa21114dff41c5da61ec548890c38","Aluno","Januária","Casa",0,4,0,0,0,3,3,1,0,1
"6","26/03/2020 02:42:10","b8961a56730f37fcc3d4fd409b3e56de","Professor","Januária","Casa",0,2,2,0,0,4,2,1,0,1
"7","26/03/2020 02:51:23","b4c11d782f70e1a06ec946a68d14cc35","Aluno","Januária","Casa",0,2,1,0,0,3,2,0,0,0
"8","26/03/2020 06:05:56","d66548697da8f626f605d0858cc52901","Tecnico administrativo","Januária","Casa",0,2,2,0,2,2,3,1,0,0
"9","26/03/2020 07:03:08","bb49d9e6cd8ac1f510e352692288f85d","Aluno","Januária","Casa",1,4,0,0,0,2,4,0,0,1
"12","26/03/2020 07:27:08","43c5d1a3957d0bc3ab8ec3daa1c94a37","Aluno","Januária","Casa",0,2,0,0,0,2,2,0,0,0
"13","26/03/2020 07:46:50","94d954c403bbc7d7b7bb1d29e539940a","Aluno","Januária","Casa",0,3,2,0,0,3,3,0,0,2
"14","26/03/2020 08:04:45","db1bd46aac43043752f047ec66e50b34","Aluno","Januária","República",0,6,0,0,2,3,3,0,1,2
"17","26/03/2020 08:35:32","dc91fdcb2bcadbdc7fccfab5345e65e8","Tecnico administrativo","Januária","Casa",2,3,0,0,0,3,4,0,0,0
"18","26/03/2020 08:52:20","5684d7a799e157a3a74bd816bc37fc22","Aluno","Januária","República",3,0,0,0,1,3,3,0,0,1
"21","26/03/2020 09:28:47","d1ad9ff30cb807d4bbb1fe1bc39c95d3","Professor","Januária","Casa",2,2,0,0,0,4,2,1,1,0
"22","26/03/2020 09:29:45","7f07e557bdc1e4c1171170f78e8915c7","Aluno","Januária","Casa",0,4,2,0,6,3,3,1,0,0
